Country/Region,Province/State,Long,Lat,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/19/2020,8/20/2020,8/21/2020,8/22/2020,8/23/2020,8/24/2020,8/25/2020,8/26/2020,8/27/2020,8/28/2020,8/29/2020,8/30/2020,8/31/2020,9/1/2020,9/2/2020,9/3/2020,9/4/2020,9/5/2020,9/6/2020,9/7/2020,9/8/2020,9/9/2020,9/10/2020,9/11/2020,9/12/2020,9/13/2020,9/14/2020,9/15/2020,9/16/2020,9/17/2020,9/18/2020,9/19/2020,9/20/2020,9/21/2020,9/22/2020,9/23/2020,9/24/2020,9/25/2020,9/26/2020,9/27/2020
Comoros,,43.3333,-11.6455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,8,8,18,18,21,21,21,24,24,24,26,26,26,27,27,55,55,67,67,67,67,97,97,97,114,114,114,127,127,129,129,159,159,159,159,159,161,161,161,161,161,200,200,200,241,241,266,266,266,272,272,272,296,296,296,302,302,311,311,311,313,313,319,319,324,324,324,328,328,328,330,330,330,330,330,330,340,340,340,353,369,369,369,379,379,379,379,379,379,379,393,393,396,396,396,396,396,399,399,399,399,399,399,399,410,410,410,410,410,410,410,415,415,415,415,415,415,427,446,446,449,449,450,450,450,453,453,453,453,458,458
Congo (Brazzaville),,21.7587,-4.0383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,5,5,5,5,5,5,11,11,11,11,11,16,16,16,16,19,19,19,19,19,19,19,25,25,25,26,26,30,30,33,33,33,53,53,53,87,87,87,87,110,132,132,137,137,147,147,147,147,161,161,161,161,179,179,179,179,179,182,210,210,210,221,221,221,221,221,221,391,391,391,391,391,391,391,456,456,456,456,456,456,456,456,456,486,486,501,501,501,501,501,525,525,589,589,589,589,589,589,589,626,626,626,666,666,666,666,756,756,756,829,829,829,829,829,829,829,1589,1589,1589,1589,1589,1589,1589,1589,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887
Congo (Kinshasa),,21.7587,-4.0383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,3,3,3,5,9,9,9,13,16,16,17,20,21,23,25,26,26,27,35,45,47,48,49,50,50,56,59,73,75,75,75,80,90,92,103,130,130,136,141,146,148,157,212,270,270,272,290,302,303,312,312,317,337,340,365,381,400,428,448,454,482,492,495,512,537,537,537,539,565,567,580,595,600,613,628,640,685,719,807,841,856,861,870,885,900,937,985,1050,1426,1785,2317,2684,2961,3184,3226,3226,3226,3513,3513,3615,3615,3620,3948,3983,4248,4248,4313,4335,4335,4528,4790,5105,5109,5305,5510,5700,5930,6095,6437,6796,7030,7319,7424,7727,7821,8048,8174,8275,8324,8363,8375,8421,8480,8512,8597,8705,8705,8882,8895,8895,8920,8920,8934,8953,8972,8987,9020,9035,9068,9103,9133,9322,9347,9367,9367,9420,9439,9451,9501,9523,9533,9622,9719,9756,9807,9817,9827,9840,9863,9891,9930,9952,10011,10041,10051,10070,10093,10093
Costa Rica,,-83.7534,9.7489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,4,4,4,6,11,13,16,18,24,29,30,42,49,56,62,66,67,74,88,97,112,124,150,180,196,216,242,264,287,306,323,338,355,372,386,399,413,428,445,461,480,501,517,520,527,535,542,551,565,575,577,582,592,600,607,620,628,634,639,646,653,658,669,676,682,685,687,695,701,704,712,717,722,722,731,743,752,771,794,899,937,982,1014,1032,1043,1129,1210,1227,1280,1325,1366,1394,1436,1516,1589,1657,1721,1745,1776,1810,1929,2023,2110,2220,2239,2304,2441,2551,2673,2818,2902,2966,3019,3194,3322,3448,3505,3640,3736,3824,3920,4050,4280,4404,4531,4585,4689,6590,6851,7038,7266,7589,7730,7823,7971,8189,8412,8785,9010,9062,9233,9462,9660,9939,10159,10372,10518,12758,13073,13317,14471,14664,15737,15737,16056,16270,16512,17855,18053,18211,18211,19083,19285,19544,20322,20710,20928,20928,21206,21536,21752,22662,23160,23552,23552,25127,25706,26136,26554,27023,27760,27760
Cote d'Ivoire,,-5.5471,7.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,4,6,7,9,15,19,25,37,41,41,48,52,52,58,85,89,114,114,146,193,239,260,260,303,310,359,419,419,468,499,525,557,574,597,622,653,693,701,721,742,754,769,794,818,820,902,930,942,987,1004,1040,1050,1083,1100,1146,1188,1219,1257,1286,1302,1326,1370,1385,1435,1467,1501,1530,1584,1604,1750,1818,1869,2045,2174,2212,2263,2397,2505,2590,2637,2749,2863,2942,2992,3068,3493,3182,3419,3487,3587,3722,3808,3996,4273,4381,4660,4726,4807,5067,5384,5487,5571,5752,6080,6357,6654,6810,6908,7146,7363,7607,8000,8366,8659,8857,8995,9282,9499,9880,10178,10361,10537,10793,11160,11428,11750,11801,11887,11955,12191,12484,12802,12893,12926,13052,13321,13321,13522,13721,13759,13947,13990,14183,14422,14611,14820,15106,15301,15633,15908,15941,16139,16315,16440,16553,16699,16814,16933,17045,17162,17323,17472,17599,17688,17770,17884,17960,17960,18112,18174,18228,18289,18330,18392,18392,18460,18630,18682,18875,19003,19065,19122,19163
Croatia,,15.2,45.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,4,5,5,5,5,5,5,22,22,37,45,52,67,67,73,88,92,119,125,130,167,179,219,231,323,373,400,415,473,529,600,615,709,771,801,869,883,982,1034,1103,1166,1232,1288,1348,1421,1463,1489,1522,1560,1601,1641,1689,1726,1764,1784,1808,1834,1850,1869,1913,1936,1946,1967,1978,1978,2011,2023,2027,2035,2046,2047,2051,2059,2063,2072,2077,2088,2095,2105,2113,2121,2126,2128,2130,2130,2132,2133,2134,2134,2140,2140,2141,2142,2142,2142,2142,2142,2142,2145,2149,2150,2152,2152,2155,2155,2155,2155,2168,2183,2196,2210,2229,2277,2323,2377,2466,2486,2514,2558,2629,2729,2825,2929,3018,3101,3183,3278,3394,3555,3778,3866,3936,4034,4099,4178,4267,4341,4373,4438,4517,4589,4688,4758,4817,4861,4906,4962,5024,5078,5134,5193,5220,5254,5318,5386,5472,5584,5678,5801,5926,6124,6362,6595,6809,7024,7212,7434,7735,7968,8266,8530,8771,9008,9266,9553,9833,10142,10466,10721,10899,11151,11412,11690,11933,12169,12353,12536,12737,12987,13815,14111,14303,14405,14609
Cruise Ship,Diamond Princess,139.638,35.4437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,10,10,10,10,10,10,10,10,10,40,40,40,40,40,325,325,325,325,325,325,325,325,325,325,325,325,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,,-80,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,4,4,8,12,13,15,15,15,18,27,27,28,51,77,92,121,132,151,171,192,227,255,285,309,341,365,416,437,501,525,575,617,681,714,765,827,876,954,1001,1031,1078,1140,1193,1229,1277,1326,1383,1425,1460,1495,1505,1538,1573,1603,1631,1671,1689,1704,1709,1724,1734,1760,1795,1809,1826,1827,1830,1839,1848,1855,1862,1868,1880,1886,1893,1902,1923,1948,1965,1994,1999,2020,2037,2071,2103,2113,2123,2130,2171,2180,2187,2201,2211,2214,2218,2221,2224,2227,2229,2234,2240,2242,2244,2249,2254,2258,2268,2275,2277,2285,2300,2304,2308,2308,2321,2326,2339,2341,2345,2349,2351,2352,2353,2355,2355,2367,2369,2373,2382,2396,2409,2429,2442,2451,2460,2472,2504,2525,2547,2568,2620,2692,2794,2863,2894,2951,3006,3044,3079,3102,3159,3195,3222,3273,3327,3378,3395,3458,3474,3487,3570,3590,3642,3700,3727,3779,3844,3878,3930,4040,4119,4131,4230,4249,4284,4412,4462,4506,4582,4613,4658,4732,4751
Cyprus,,33.4299,35.1264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,15,15,15,22,23,28,28,28,33,37,45,47,52,53,58,61,65,65,65,65,77,77,79,81,81,98,98,98,98,148,148,148,148,148,296,296,296,296,296,296,296,400,400,401,401,401,449,449,481,481,515,515,515,515,516,561,561,594,594,594,594,594,784,784,790,790,790,790,790,790,807,807,807,807,807,807,807,807,807,807,807,816,816,818,818,824,824,824,824,824,824,824,824,833,833,833,833,833,839,839,839,839,839,839,839,839,839,839,839,839,839,845,845,845,845,847,847,847,847,847,852,852,852,852,852,852,852,852,856,856,856,856,856,856,856,870,870,870,870,870,870,870,870,870,878,878,878,878,878,878,878,935,935,935,935,935,935,1139,1139,1139,1139,1139,1237,1237,1237,1237,1237,1237,1237,1281,1281,1282,1282,1282,1282,1282,1282,1282,1369,1369,1369,1369,1369,1369,1369
Czechia,,15.473,49.8175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,6,6,7,10,10,10,11,11,11,25,45,61,67,72,78,96,121,172,233,301,346,411,464,519,642,819,972,1174,1227,1298,1559,1753,1989,2152,2371,2453,2545,2826,2948,3108,3314,3372,3461,3587,3807,4006,4205,4371,4413,4447,4474,4711,4889,5047,5241,5381,5422,5462,5641,5726,5830,5926,6025,6044,6078,6182,6270,6370,6460,6500,6546,6558,6642,6686,6749,6809,6881,6885,6891,6994,7053,7111,7166,7215,7219,7226,7296,7358,7399,7440,7473,7477,7499,7537,7555,7588,7649,7668,7682,7705,7746,7771,7797,7822,7848,7852,7864,7873,7910,8010,8128,8208,8227,8247,8373,8441,8507,8640,8725,8733,8761,8836,8918,9144,9328,9422,9590,11428,11428,11428,11429,11482,11569,11587,11605,11708,11812,11909,12320,12749,12764,12785,12983,13222,13407,13574,13731,13763,13799,14622,15146,15615,15886,16040,16087,16125,16376,16662,16954,17190,17497,17541,17547,17807,18116,18326,18663,19027,19039,19053,19855,20139,20374,20787,21140,21205,21294,22020,22613,22931,23377,23858,24228,24755,25425,26151,26709,27382,30740,30936,31268
Denmark,Denmark,9.5018,56.2639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,894,1089,1193,1283,1327,1378,1491,1621,1736,1773,1955,2123,2235,2515,2748,3023,3389,3847,4141,4312,4700,5087,5384,5526,5669,5805,5959,6121,6366,6546,6729,6889,6987,7088,7296,7493,7711,7927,8093,8217,8328,8580,8663,8805,8959,9107,9227,9301,9416,9536,9643,9764,9836,9900,9964,10044,10106,10180,10240,10327,10362,10412,10489,10552,10620,10653,10721,10755,10792,10849,10904,10955,10993,11035,11068,11090,11125,11185,11242,11282,11282,11282,11347,11393,11422,11460,11508,11508,11508,11612,11649,11693,11769,11817,11817,11817,11935,11983,12001,12045,12077,12077,12077,12130,12160,12182,12195,12209,12209,12209,12251,12261,12274,12299,12340,12340,12340,12417,12451,12485,12526,12578,12578,12578,12682,12715,12753,12787,12840,12840,12840,12925,12988,13066,13131,13216,13275,13340,13417,13529,13651,13769,13944,13944,14180,14310,14465,14603,14763,14877,14989,15116,15205,15300,15413,15499,15586,15671,15760,15833,15907,15990,16069,16139,16247,16333,16437,16557,16557,16918,17110,17316,17514,17738,18035,18359,18646,19010,19350,19650
Denmark,Faroe Islands,-6.9118,61.8926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,33,38,47,54,54,70,70,74,75,81,91,93,99,107,120,131,136,145,145,157,157,163,166,169,171,173,176,176,178,178,178,178,178,178,178,181,181,184,184,184,185,185,185,185,185,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,189,189,192,192,192,192,192,192,193,215,215,225,225,225,225,225,225,229,235,256,274,300,300,300,337,344,357,358,361,362,362,374,374,374,379,379,379,379,409,409,410,410,410,410,410,412,412,412,412,412,412,412,413,414,416,416,417,417,423
Denmark,Greenland,-42.6043,71.7069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,3,3,3,4,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Diamond Princess,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587,597,597,597,603,603,603,603,619,619,619,619,619,619,619,619,619,619,619,619,639,639,644,644,644,644,644,644,644,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651
Djibouti,,42.5903,11.8251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,9,9,9,25,25,36,36,36,41,53,71,73,76,76,102,102,112,183,252,330,373,411,477,498,599,642,672,686,686,713,745,755,799,824,834,847,872,886,900,905,935,950,972,1018,1033,1052,1055,1064,1064,1064,1079,1079,1185,1241,1241,1286,1504,1521,1607,1636,1685,1707,1815,1877,2013,2139,2260,2519,2730,2823,2950,3183,3324,3411,3527,3565,3565,3859,3952,3989,4182,4269,4348,4348,4348,4433,4524,4550,4564,4580,4580,4593,4610,4621,4644,4671,4689,4689,4712,4729,4743,4765,4796,4809,4809,4838,4868,4884,4904,4927,4949,4949,4966,4977,4992,4999,4999,4999,4999,5019,5028,5044,5057,5057,5083,5083,5106,5120,5133,5150,5167,5181,5181,5202,5211,5216,5216,5216,5233,5233,5254,5273,5282,5297,5307,5307,5314,5319,5323,5327,5327,5327,5327,5327,5327,5327,5327,5327,5327,5327,5327,5330,5331,5331,5333,5333,5333,5333,5335,5336,5338,5338,5339,5340,5340,5340
Dominica,,-61.371,15.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,5,8,8,8,8,8,8,8,8,8,8,9,9,10,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,24
Dominican Republic,,-70.1627,18.7357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,4,5,9,16,16,16,17,33,36,50,80,98,108,131,152,162,208,215,268,312,363,416,463,581,581,763,822,910,993,1165,1228,1301,1387,1481,1606,1771,1905,1960,2064,2286,2584,2763,2870,3221,3221,3351,3557,3726,5847,6613,6613,7142,7366,7572,7854,8133,8285,8534,8790,8952,9266,9557,10559,10893,11075,11224,11474,11736,11919,12007,12158,12208,12318,12541,12754,13084,13320,14025,14133,14216,14293,14605,14957,15138,15338,15551,16006,16223,16357,16666,17142,17280,17580,17904,18141,18392,18602,18943,19489,19564,20056,20426,20830,20996,21459,22441,23134,23459,23636,24423,24607,25094,25561,25976,26466,26905,27625,27980,28603,30204,32014,33947,35302,36470,37509,38244,38824,38824,40122,40539,41393,42538,43744,44910,45666,47095,47946,49539,51356,52905,54108,55504,56760,57734,59132,59949,60670,61558,62460,63478,64347,65285,66320,66776,68082,68736,69519,70871,70871,71901,72567,73228,73795,74305,75034,75747,76531,77182,77790,78387,78891,79363,80179,80820,81668,82274,82741,83434,84018,84610,85220,85965
East Timor,,125.56,-8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,,-78.1834,-1.8312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,54,58,65,65,100,100,100,100,140,339,368,411,501,597,696,780,838,838,1008,1061,1150,1207,1262,1328,1366,1366,1366,1557,1557,1557,1558,1913,2132,3300,3433,3433,3433,3433,3433,3433,3433,3433,3433,3433,3433,3433,3433,3433,3433,3457,3557,3557,3557,3557,3560,18003,18003,18425,18425,19190,19190,19592,19592,20019,20019,20019,20568,21020,21020,21020,21020,21862,21862,22679,22865,23064,23349,23684,23881,24123,24446,24446,24991,24991,24991,24991,26097,26493,26920,27058,27430,27594,27887,28032,28391,28507,28722,28872,29071,29071,29184,29577,30107,30283,30369,30484,30641,31260,31404,31757,31901,31955,32725,33125,33455,34544,34544,34896,34896,35283,35572,35824,36044,36213,36213,59344,70985,71168,71318,71463,71605,78552,78608,78610,78887,78957,79176,79354,87022,87120,87183,87277,87660,87730,87889,94816,94878,95025,95097,95202,95311,95429,101620,101669,101723,101867,102051,102200,102304,102304,91242,91242,91242,91242,91242,91242,97063,97063,97063,97063,97063,97063,97063,102852,102852,102852,102852,102852,102852,102852,112296
Egypt,,30,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,27,27,27,27,21,27,32,32,32,39,41,56,68,80,95,102,116,121,132,150,157,179,201,216,241,247,259,276,305,348,384,426,589,589,589,589,596,646,701,732,821,870,935,1004,1075,1114,1176,1236,1304,1335,1381,1460,1522,1562,1632,1730,1815,1887,1945,2002,2075,2172,2326,2486,2626,2799,2950,3172,3440,3742,3994,4217,4374,4628,4807,4900,5027,5205,5359,5511,5693,6037,6447,6827,7350,7756,8158,8538,8961,9375,9786,10289,10691,11108,11529,11931,12329,12730,13141,13528,13928,14327,14736,15133,15535,15935,16338,16737,17140,17539,17951,18460,18881,19288,19690,20103,20726,21238,21718,22241,22753,23274,23876,24419,24975,25544,26135,26691,27302,27868,28380,28924,29473,30075,31066,31970,32903,33831,34838,35959,37025,38236,39638,41137,42455,44066,45569,47182,48898,50553,51672,52678,53779,54888,55901,56890,57858,58835,59743,60651,61562,62553,63462,64318,65118,65927,66817,67717,68713,69612,70419,71302,72120,72929,73828,74626,75415,76305,77208,78108,79008,79886,80689,81597,82473,83261,84161,84969,85745,86549,87158,87958,88666,89532,90332,91143,91843,92644,93531,94374,95080
